
Proving the program took 0.70 seconds

Proving the program took 0.70 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    3	  700	1.91363		0.03333333333333333	0.04	
    3	  800	1.89508		0.05555555555555555	0.085	
    4	  900	1.85386		0.03333333333333333	0.085	
    4	 1000	1.85171		0.05555555555555555	0.07	
    4	 1100	1.84501		0.07777777777777778	0.08	
    5	 1200	1.86623		0.06666666666666667	0.08	
    5	 1300	1.83416		0.03333333333333333	0.08	
    6	 1400	1.84727		0.022222222222222223	0.08	
    6	 1500	1.83615		0.044444444444444446	0.08	
    7	 1600	1.82620		0.07777777777777778	0.095	
    7	 1700	1.82118		0.08888888888888889	0.09	
    8	 1800	1.83525		0.1	0.13	
    8	 1900	1.80043		0.1111111111111111	0.145	
    8	 2000	1.81422		0.07777777777777778	0.145	
    9	 2100	1.79111		0.14444444444444443	0.145	
    9	 2200	1.78683		0.1	0.145	
   10	 2300	1.78089		0.13333333333333333	0.145	
   10	 2400	1.78184		0.15555555555555556	0.19	
   11	 2500	1.76917		0.14444444444444443	0.19	
   11	 2600	1.75819		0.2222222222222222	0.225	
   12	 2700	1.75279		0.2222222222222222	0.255	
   12	 2800	1.72749		0.32222222222222224	0.325	
   12	 2900	1.73915		0.3111111111111111	0.325	
   13	 3000	1.71515		0.34444444444444444	0.39	
   13	 3100	1.70566		0.2222222222222222	0.39	
   14	 3200	1.67988		0.34444444444444444	0.41	
   14	 3300	1.67770		0.5555555555555556	0.505	
   15	 3400	1.65254		0.4777777777777778	0.505	
   15	 3500	1.63771		0.5555555555555556	0.56	
   16	 3600	1.63387		0.5111111111111111	0.56	
   16	 3700	1.61254		0.6	0.555	
   16	 3800	1.60726		0.6666666666666666	0.655	
   17	 3900	1.58750		0.7	0.67	
   17	 4000	1.58301		0.7444444444444445	0.635	
   18	 4100	1.57123		0.7555555555555555	0.705	
   18	 4200	1.54556		0.7444444444444445	0.705	

Proving the program took 0.74 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.12462		0.044444444444444446	0.015	
    0	  100	2.07000		0.0	0.015	
    0	  200	2.03704		0.022222222222222223	0.015	
    1	  300	2.00343		0.03333333333333333	0.015	
    1	  400	1.93695		0.011111111111111112	0.015	
    2	  500	1.94031		0.011111111111111112	0.015	
    2	  600	1.92507		0.011111111111111112	0.015	
    3	  700	1.92201		0.05555555555555555	0.055	
    3	  800	1.89837		0.03333333333333333	0.055	
    4	  900	1.85468		0.05555555555555555	0.08	
    4	 1000	1.87060		0.06666666666666667	0.04	
    4	 1100	1.85782		0.03333333333333333	0.04	
    5	 1200	1.87987		0.044444444444444446	0.04	
    5	 1300	1.84308		0.044444444444444446	0.04	
    6	 1400	1.85351		0.06666666666666667	0.05	
    6	 1500	1.84104		0.03333333333333333	0.05	
    7	 1600	1.83988		0.05555555555555555	0.05	
    7	 1700	1.83163		0.07777777777777778	0.04	
    8	 1800	1.83766		0.07777777777777778	0.085	
    8	 1900	1.82293		0.06666666666666667	0.085	
    8	 2000	1.82107		0.08888888888888889	0.06	
    9	 2100	1.80045		0.07777777777777778	0.06	
    9	 2200	1.80843		0.15555555555555556	0.095	
   10	 2300	1.79866		0.15555555555555556	0.16	
   10	 2400	1.78910		0.06666666666666667	0.16	
   11	 2500	1.79121		0.14444444444444443	0.16	
   11	 2600	1.77893		0.2111111111111111	0.22	
   12	 2700	1.76834		0.2777777777777778	0.275	
   12	 2800	1.74446		0.17777777777777778	0.275	
   12	 2900	1.75764		0.17777777777777778	0.275	
   13	 3000	1.74491		0.26666666666666666	0.275	
   13	 3100	1.74247		0.3111111111111111	0.345	
   14	 3200	1.71747		0.2777777777777778	0.345	
   14	 3300	1.72135		0.3333333333333333	0.35	
   15	 3400	1.73728		0.43333333333333335	0.4	
   15	 3500	1.70367		0.5111111111111111	0.445	
   16	 3600	1.70072		0.45555555555555555	0.445	
   16	 3700	1.69940		0.4777777777777778	0.445	
   16	 3800	1.69831		0.4444444444444444	0.445	
   17	 3900	1.68150		0.5333333333333333	0.44	
   17	 4000	1.67872		0.5	0.44	
   18	 4100	1.66677		0.4888888888888889	0.44	
   18	 4200	1.65672		0.5333333333333333	0.5	
   19	 4300	1.66715		0.5333333333333333	0.505	
   19	 4400	1.65104		0.5555555555555556	0.49	
   20	 4500	1.65941		0.5333333333333333	0.49	
   20	 4600	1.64895		0.5888888888888889	0.515	
   20	 4700	1.62894		0.5666666666666667	0.515	
   21	 4800	1.63602		0.6111111111111112	0.525	
   21	 4900	1.62309		0.5777777777777777	0.525	
   22	 5000	1.64541		0.6555555555555556	0.64	
   22	 5100	1.61220		0.6	0.64	
   23	 5200	1.62853		0.6555555555555556	0.6	
   23	 5300	1.61017		0.6555555555555556	0.635	
   24	 5400	1.59914		0.6666666666666666	0.635	
   24	 5500	1.60155		0.6111111111111112	0.635	
   24	 5600	1.60644		0.6555555555555556	0.635	
   25	 5700	1.60069		0.6888888888888889	0.61	
   25	 5800	1.59287		0.6888888888888889	0.605	
   26	 5900	1.57878		0.7333333333333333	0.65	
   26	 6000	1.58448		0.7666666666666667	0.68	
   27	 6100	1.57782		0.6222222222222222	0.68	
   27	 6200	1.57624		0.7	0.68	
   28	 6300	1.56593		0.6111111111111112	0.68	
   28	 6400	1.55568		0.6888888888888889	0.68	
   28	 6500	1.56161		0.6888888888888889	0.68	
